Mark ID,Mark Name,Timestamp,\Ýþlemci(_Total)\% Ýþlemci Zamaný,Contentions,
0,"Start of Program","0,00",0,0,
1,"AutoMark","0,00",0,0,
2,"AutoMark","500,55",61,0,
3,"AutoMark","1.000,93",43,0,
4,"AutoMark","1.501,24",36,0,
5,"AutoMark","2.005,68",45,0,
6,"AutoMark","2.520,84",67,0,
7,"AutoMark","3.038,57",67,0,
8,"AutoMark","3.547,91",32,0,
9,"AutoMark","4.048,24",33,1,
10,"AutoMark","4.548,56",31,0,
11,"AutoMark","5.048,86",32,0,
12,"AutoMark","5.549,23",28,0,
13,"AutoMark","6.049,52",32,0,
14,"AutoMark","6.550,18",32,0,
15,"AutoMark","7.050,22",38,0,
16,"AutoMark","7.577,91",31,0,
17,"AutoMark","8.082,16",29,0,
18,"AutoMark","8.587,77",33,0,
19,"AutoMark","9.088,69",28,0,
20,"AutoMark","9.595,04",33,0,
21,"AutoMark","10.102,38",29,0,
22,"AutoMark","10.618,74",29,0,
23,"AutoMark","11.119,05",31,0,
24,"AutoMark","11.619,33",31,0,
25,"AutoMark","12.120,02",31,0,
26,"AutoMark","12.620,01",28,0,
27,"AutoMark","13.123,36",30,0,
28,"AutoMark","13.629,75",29,0,
29,"AutoMark","14.130,05",29,0,
30,"AutoMark","14.630,39",30,0,
31,"AutoMark","15.130,73",33,0,
32,"AutoMark","15.631,04",28,0,
33,"AutoMark","16.136,11",29,0,
34,"AutoMark","16.647,75",33,0,
35,"AutoMark","17.149,08",32,0,
36,"AutoMark","17.649,41",32,0,
37,"AutoMark","18.151,72",32,0,
38,"AutoMark","18.652,16",36,0,
39,"AutoMark","19.152,43",28,0,
40,"AutoMark","19.652,78",28,0,
41,"AutoMark","20.153,06",32,0,
42,"AutoMark","20.666,44",29,0,
43,"AutoMark","21.166,73",28,0,
44,"AutoMark","21.667,06",30,0,
45,"AutoMark","22.168,01",29,0,
46,"AutoMark","22.667,78",27,0,
47,"AutoMark","23.168,09",29,0,
48,"AutoMark","23.671,58",48,0,
49,"AutoMark","24.171,76",38,0,
50,"AutoMark","24.672,08",28,0,
51,"AutoMark","25.172,41",29,0,
52,"AutoMark","25.672,75",27,0,
53,"AutoMark","26.173,04",31,0,
54,"AutoMark","26.673,41",28,0,
55,"AutoMark","27.173,74",28,0,
56,"AutoMark","27.695,12",30,0,
57,"AutoMark","28.195,45",28,0,
58,"AutoMark","28.699,80",30,0,
59,"AutoMark","29.200,15",28,0,
60,"AutoMark","29.700,43",27,0,
61,"AutoMark","30.216,11",30,0,
62,"AutoMark","30.723,22",28,0,
63,"AutoMark","31.225,53",30,0,
64,"AutoMark","31.729,50",31,0,
65,"AutoMark","32.230,20",29,0,
66,"AutoMark","32.730,48",29,0,
67,"AutoMark","33.230,85",28,0,
68,"AutoMark","33.730,82",28,0,
69,"AutoMark","34.231,14",28,0,
70,"AutoMark","34.731,44",28,0,
71,"AutoMark","35.231,78",29,0,
72,"AutoMark","35.732,42",26,0,
73,"AutoMark","36.238,49",32,0,
74,"AutoMark","36.738,83",28,0,
75,"AutoMark","37.239,16",26,0,
76,"AutoMark","37.750,50",30,0,
77,"AutoMark","38.250,84",29,0,
78,"AutoMark","38.763,23",27,0,
79,"AutoMark","39.264,52",29,0,
80,"AutoMark","39.764,86",27,0,
81,"AutoMark","40.267,89",29,0,
82,"AutoMark","40.785,65",25,0,
83,"AutoMark","41.285,91",28,0,
84,"AutoMark","41.786,24",29,0,
85,"AutoMark","42.286,57",33,0,
86,"AutoMark","42.787,91",29,0,
87,"AutoMark","43.288,23",28,0,
88,"AutoMark","43.794,60",29,0,
89,"AutoMark","44.296,73",29,0,
90,"AutoMark","44.818,27",31,0,
91,"AutoMark","45.321,67",34,0,
92,"AutoMark","45.824,02",30,0,
93,"AutoMark","46.324,28",30,0,
94,"AutoMark","46.824,61",27,0,
95,"AutoMark","47.324,97",28,0,
96,"AutoMark","47.825,30",26,0,
97,"AutoMark","48.325,63",28,0,
98,"AutoMark","48.825,96",27,0,
99,"AutoMark","49.326,29",26,0,
100,"AutoMark","49.828,94",28,0,
101,"AutoMark","50.329,03",28,0,
102,"AutoMark","50.829,34",27,0,
103,"AutoMark","51.333,64",29,0,
104,"AutoMark","51.834,00",27,0,
105,"AutoMark","52.334,30",27,0,
106,"AutoMark","52.837,71",30,0,
107,"AutoMark","53.337,97",28,0,
108,"AutoMark","53.838,34",40,0,
109,"AutoMark","54.338,71",36,0,
110,"AutoMark","54.839,17",30,0,
111,"AutoMark","55.355,46",31,0,
112,"AutoMark","55.864,83",30,0,
113,"AutoMark","56.385,20",41,0,
114,"AutoMark","56.889,13",33,0,
115,"AutoMark","57.402,90",28,0,
116,"AutoMark","57.903,22",32,0,
117,"AutoMark","58.403,52",32,0,
118,"AutoMark","58.903,89",33,0,
119,"AutoMark","59.404,18",33,0,
120,"AutoMark","59.904,55",37,0,
121,"AutoMark","60.404,88",29,0,
122,"AutoMark","60.905,21",32,0,
123,"AutoMark","61.405,55",34,0,
124,"AutoMark","61.909,43",30,0,
125,"AutoMark","62.409,24",30,0,
126,"AutoMark","62.909,50",30,0,
127,"AutoMark","63.409,87",32,0,
128,"AutoMark","63.910,39",32,0,
129,"AutoMark","64.410,50",35,0,
130,"AutoMark","64.910,83",30,0,
131,"AutoMark","65.411,19",33,0,
132,"AutoMark","65.911,55",34,0,
133,"AutoMark","66.418,27",29,0,
134,"AutoMark","66.921,38",33,0,
135,"AutoMark","67.421,50",32,0,
136,"AutoMark","67.921,82",29,0,
137,"AutoMark","68.422,53",30,0,
138,"AutoMark","68.924,76",29,0,
139,"AutoMark","69.433,25",31,0,
140,"AutoMark","69.933,58",31,0,
141,"AutoMark","70.433,86",51,4,
142,"AutoMark","70.934,23",35,0,
143,"AutoMark","71.434,64",31,0,
4.294.967.295,"End of Program","71.942,36",0,0,
144,"AutoMark","71.942,36",31,0,
